Response,Matches?, Ignore Case, Sentence dividers
#first expression
多友人 同士 が お互い に 見間違える ほど 性格 が 似ている こと が あります, 1
似ている こと が 多友人 同士 が お互い に 見間違える ほど 性格 が あります, 0
#second expression
里美さん と 由紀さん は 親友 です が、いろいろ と 異なっている ところ が あります, 1
#third expression
いろいろ と 異なっている ところ が 里美さん と 由紀さん は 親友 です が あります, 1
#fourth expression
コンタクトレンズ を 好んで 使っています. 里美さん は 独身 です が、由紀さん は 結婚しています, 0
コンタクトレンズ を 好んで 使っています 里美さん は 独身 です が、由紀さん は 結婚しています, 1
コンタクトレンズ を 好んで 使っています。 里美さん は 独身 です が、由紀さん は 結婚しています, 1, 1,.。
コンタクトレンズ を 好んで 使っています 里美さん は 独身 です が、由紀さん は 結婚しています, 1, 1,.。
